Year,Country,GDP (in USD),Population,GDP Growth Rate (%),Fertility Rate,"Infant Mortality Rate (per 1,000 live births)","Maternal Mortality Rate (per 100,000 live births)",Agricultural Output (in USD),Active Military Personnel,Reserve Military Personnel,Literacy Rate (%),IT Output (in USD),Number of Tanks,Number of Submarines,Number of Armoured Vehicles
2008,Israel,215.95 billion,"7,413,000",1.2,2.93,3.7,5.6,5.84 billion,"177,400","435,000",97.8,7.40 billion,"2,760",3,"10,634"
2008,Palestine,5.05 billion,"3,966,000",4.2,3.98,16.7,23.2,1.02 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2009,Israel,202.98 billion,"7,602,000",0.8,2.93,4,5.5,5.80 billion,"169,700","434,000",97.8,7.50 billion,"2,760",3,"10,634"
2009,Palestine,4.98 billion,"4,018,000",6.8,4,15.9,22.4,1.04 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010,Israel,217.90 billion,"7,746,000",4.6,2.96,3.7,5.5,5.85 billion,"170,300","431,000",97.8,7.80 billion,"2,760",3,"10,634"
2010,Palestine,4.95 billion,"4,070,000",8.5,3.99,15.1,21.9,1.08 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011,Israel,242.89 billion,"7,907,000",4.6,2.96,3.5,4.9,5.90 billion,"170,750","429,500",97.8,8.20 billion,"2,760",3,"10,634"
2011,Palestine,5.39 billion,"4,198,000",-0.5,3.87,14.3,21.1,1.12 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012,Israel,254.94 billion,"8,081,000",3.3,2.99,3.3,4.7,5.97 billion,"171,450","428,000",97.8,8.60 billion,"2,760",5,"10,634"
2012,Palestine,5.65 billion,"4,297,000",5.9,3.83,13.8,20.4,1.15 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013,Israel,272.18 billion,"8,192,000",3.3,3.01,3.2,4.6,6.02 billion,"174,550","424,750",97.8,9.00 billion,"2,760",5,"10,634"
2013,Palestine,5.69 billion,"4,404,000",4.9,3.79,13.4,20,1.17 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,Israel,291.03 billion,"8,299,000",3.6,3.02,3.1,4.3,6.07 billion,"177,350","421,500",97.8,9.30 billion,"2,760",5,"10,634"
2014,Palestine,5.71 billion,"4,530,000",5.9,3.74,12.8,19.5,1.20 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015,Israel,309.01 billion,"8,431,000",2.6,3.03,3,4.1,6.09 billion,"176,500","418,500",97.8,9.60 billion,"2,760",5,"10,634"
2015,Palestine,5.87 billion,"4,692,000",3.3,3.69,12.3,18.9,1.23 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2016,Israel,321.57 billion,"8,548,000",4,3.06,2.9,3.8,6.10 billion,"176,500","415,000",97.8,10.00 billion,"2,760",5,"10,634"
2016,Palestine,5.93 billion,"4,768,000",4,3.64,11.9,18.5,1.26 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,Israel,348.70 billion,"8,712,000",3.4,3.06,2.8,3.7,6.16 billion,"174,500","410,000",97.8,10.70 billion,"2,760",5,"10,634"
2017,Palestine,6.00 billion,"4,816,000",3.1,3.57,11.4,17.9,1.29 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,Israel,370.12 billion,"8,972,000",3.5,3.06,2.7,3.6,6.20 billion,"170,000","405,000",97.8,11.20 billion,"2,760",5,"10,634"
2018,Palestine,6.10 billion,"4,857,000",0.9,3.53,11,17.5,1.32 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019,Israel,395.53 billion,"9,136,000",3.4,3.06,2.6,3.5,6.22 billion,"169,500","399,000",97.8,11.70 billion,"2,760",5,"10,634"
2019,Palestine,6.09 billion,"4,895,000",1,3.48,10.6,17.1,1.35 billion,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,Israel,375.82 billion,"9,227,000",-2.4,3.05,2.7,2.9,6.21 billion,"169,500","395,000",97.8,42.45 billion,"2,760",5,"10,634"
2020,Palestine,6.20 billion,"4,934,000",-7.7,3.46,10.3,16.7,1.37 billion,N/A,,98.5,1.03 billion,N/A,N/A,N/A
2021,Israel,398.02 billion,"9,390,000",1.63,3.02,2.6,3.3,2.86 billion,"170,000","465,000",97.8,46.21 billion,"2,760",5,"10,634"
2021,Palestine,15.05 billion,"5,368,000",-11.4,3.24,12.6,15.2,352 million,N/A,N/A,98.6,1.10 billion,N/A,N/A,N/A
